ID;MATERIAL;DESCRIÇÃO;LOCAL
75;CAP081;CAPACITOR POLIESTER 33NF X 400V (B32521-CANECA PLASTICA) 10MM OU 5MM;OBSOL - A2
76;CAP082;CAPACITOR ELETROLITICO 1000UF25V;BC-02
77;CAP083;CAPACITOR ELETROLITICO RADIAL 470UF X 100V;OBSOL - A2
78;CAP084;CAPACITOR CERÂMICO SMD;SALA SMD
79;CAP085;CAPACITOR CERAMICO SMD;SALA SMD
80;CAP086;CAPACITOR CERÂMICO SMD;SALA SMD
81;CAP087;CAPACITOR POLIESTER 1UF X 400V;OBSOL - A2
82;CAP088;CAPACITOR CERAMICO DISCO 2,2NF X 50V;BC-02
83;CAP090;CAPACITOR CERAMICO DISCO 1NF X 1KV HV;AF-01
84;CAP091;CAPACITOR ELETROLITICO RADIAL 10UF X 400V;AF-01
85;CAP092;CAPACITOR CERAMICO DISCO 2,2NF X 400V;AF-01
86;CAP093;CAPACITOR CERÂMICO SMD;SALA SMD
87;CAP094;CAPACITOR CERÂMICO SMD;SALA SMD
88;CAP095;CAPACITOR CERÂMICO SMD;SALA SMD
89;CAP096;CAPACITOR CERÂMICO SMD;SALA SMD
90;CAP097;CAPACITOR ELETROLITICO 2,2UFX100V;BC-02
91;CAP098;CAPACITOR TANTALO SMD 1UF X 35 V CASE A;SALA SMD
92;CASCO-001;SENSOR CHAVE OTICA MOLEX 3 VIAS - C.ANT. LUPFCO-001 e LUPFCO-002;H.27
93;CASCO-002;SENSOR CHAVE OTICA;H.27
94;CASCO-003;SENSOR CHAVE OTICA 3 VIAS COM ABA;H.27
95;CASFC-001;SENSOR FIM DE CURSO COM MICRO SWITCH - C.ANT. LUPFCM;H.27
96;CAU100-001;PLACA CONTROLADOR PARA MICROTOMO - C.ANT. LUPCPU;H.27
97;CAU101-001;PLACA CONTROLADOR PARA CRIOSTATO DE CHAO;H.27
98;CAU104-001;PLACA CONTROLADOR DE TEMPERATURA PARA PAINEL;H.27
99;CAU106-001;PLACA CONTROLADOR PARA PROCESSADOR DE TECIDOS;H.27
100;CAU107-001;PLACA CONTROLADOR PARA CENTRAL DE INCLUSÃO;H.27
101;CHT002;CHAVE TACTIL 12X12X5MM;BE-02
102;CHT003;CHAVE TACTIL6X6X5MM;BE-02
103;CHT005;DIP SWITCH 8 VIAS;BE-02
104;CHT006;REED SWITCH;BE-02
105;CHT007;CHAVE TACTIL 6X6X7MM;BE-02
106;CHT008;CHAVE HH 201 SR1G3FS1S 110/220V;I.19 - VENDAS
107;CHT009;CHAVE 16101MFTFE25;CF-01
108;CHT012;CHAVE TACTIL 6X6X9 MM;OBSOL - A4
109;CHT013;CHAVE 20223 M2FT4FE3S BIPOLAR 3A PT MARGIRIUS;OBSOL - A4
110;CHT016;CHAVE TACTIL 12X12X4,3;CF-01
111;CHT018;CHAVE 20223 M2FT4FE3G BIPOLAR 15A PT MARGIRIUS;OBSOL - A4
112;CHT023;CHAVE TACTIL 12X12X8,5;CF-01
113;CHT026;CHAVE TACTIL 12X12X12;CF-01
114;CHT029;BLOCO DE CONTATO 1 N/A;I.25 - VENDAS
115;CHT030;BLOCO DE CONTATO 1 N/F;I.25 - VENDAS
116;CHT034;CHAVE GANGORRA KCD1-106 N 3T 6A 250V VERM LIGA/DESLIGA;I.19 - VENDAS
117;CHT038;CHAVE VERMELHA LIGA E DESLIGA;BE-02
118;CHT040;CHAVE PHCT103;BE-02
119;CHT041;CHAVE MICRO SWHITCH COM ASTES;BE-02
120;CHT046;CHAVE BLOQUEADORA KS-02 - ALUMINIO;OBSOL - A4
121;CHT047;CALOTA DE METAL 12MM;BE-02
122;CHT048;CHAVE OPTICA PHCT203 COM ABA;BE-02
123;CIM001;ICL7660CBA SMD SO-8 CONVERSOR +5V;CD-02
124;CIM003;4N33 DIP FOTO ACLOPADOR;CD-01
125;CIM004;74HC164D SMD SO14 SHIFT REGISTER;SALA SMD
126;CIM005;74HC373D SMD SO20 LATCH 3STATE;SALA SMD
127;CIM006;MAX232N DIP CONVERSOR TTLRS232 MAXIM;CD-01
128;CIM007;LM348DT SMD SO14 AMPLIFICADOR OPERACIONAL;OBSOL - A6
129;CIM008;LM7805 TO220 REGULADOR DE TENSAO 5V;CD-01
130;CIM009;MAX232D SMD SOIC16 (4MM) CONVERSOR TTLRS232;CD-02
131;CIM010;MC68HC908QY4ACDWE SMD QFP44 MICROCONTROLADOR;CD-02
132;CIM011;TL064CD SMD SO14 AMPLIFICADOR OPERACIONAL;CD-02
133;CIM012;MC68HC908GP32CFBE SMD QFP44 MICROCONTROLADOR;AG-01
134;CIM013;75176 DIP TRANSCEIVER RS485;CD-01
135;CIM015;MC68HC908GT8CFB SMD QFP44 MICROCONTROLADOR;AG-01
136;CIM017;ULN 2003N DIP TRANSISTOR ARRAY;CD-01
137;CIM018;MOC3020 DIP FOTOTRIAC;CD-01
138;CIM019;L78L33ACZ 3,3 V TO92 REGULADOR DE TENSAO 3V3;CD-01
139;CIM020;MAX485CSA SMD (SO 8) TRANSCEIVER RS485;CD-02
140;CIM021;LM324 SMD AMPLIFICADOR OPERACIONAL;CD-02
141;CIM027;74HC373N LATCH 3STATE DIP;CD-01
142;CIM032;LM1458 SMD AMPLIFICADOR OPERACIONAL;CD-02
143;CIM033;LM358N DIP AMPLIFICADOR OPERACIONAL;CD-01
144;CIM035;LM358 SMD (SOIC) AMPLIFICADOR OPERACIONAL;CD-02
145;CIM039;LM7812 TO220 REGULADOR DE TENSAO 12V;CD-01
146;CIM040;LM78L05ACZ TO92 REGULADOR DE TENSAO 5V;CD-01
147;CIM043;LM1458 DIP AMPLIFICADOR OPERACIONAL;CD-01
148;CIM068;LM317LZ TO92 REGULADOR DE TENSAO AJUSTAVEL;CD-02
149;CIM069;LM35 DZ TO92 SENSOR TEMPERATURA;CD-02
150;CIM070;4N27 DIP FOTO ACOPLADOR;CD-01
151;CIM071;MC9S08GT60ACFBE SMD QFP44 MICROCONTROLADOR;AG-01
152;CIM072;LM78L12 TO92 REGULADOR DE TENSAO 12V;CD-01
153;CIM073;MC78LC33HT SMD SOT89 REGULADOR DE TENSAO 3,3V;CD-02
154;CIM077;FT232BL(M)TR SMD CONVERSOR USB PARA UART RS232;CD-02
155;CIM081;IL300 DIP ACOPLADOR OTICO;CD-01
156;CIM082;L7815CV TO220 REGULADOR DE TENSAO 15V;CD-01
157;CIM083;LM359N DIP AMPLIFICADOR OPERACIONAL;CD-01
158;CIM085;CD4093 DIP PORTA NAND;CD-01
159;CIM086;CD4027 DIP FLIP FLOP JK;CD-01
160;CIM088;MC7805BDTRKG SMD DPAK3 (TO-252-3) REGULADOR TENSAO 5V;SALA SMD
161;CIM089;MC9S08AC32CFGE SMD LQFP44 MICROCONTROLADOR;AG-01
162;CIM090;MC9S08GT16ACFBE SMD QFP44 MICROCONTROLADOR;AG-01
163;CIM092;PIC12F675 CONVERSOR ANALOGICO DIGITAL 8 PINOS (DIP);CD-01
164;CIM093;AT42QT1481 SMD LQFP44 QMATRIX TOUCH SENSOR;AG-01
165;CIM094;ACS712 SMD (SOIC) SENSOR LINEAR DE CORRENTE DE EFEITO;CD-02
166;CIM095;MC9S08GW64CLKR SMD LQFP80 MICROCONTROLADOR;AG-01
167;CIM096;MC9S08AC32CFUE SMD QFP64 MICROCONTROLADOR;AG-01
168;CIM098;AT42QT1110-AU SMD TQFP KEY TOUCH SENSOR;AG-01
169;CIM099;TLP185 SMD FOTO ACOPLADOR ( ENCAPSULAMENTO 11-4M1S );SALA CMD
170;CIM100;FT232RL SMD SSOP-28 CONVERSOR USB PARA UART RS232;CD-02
171;CIM103;PIC18F2550 SMD MICROCONTROLLER;CD-02
172;CIM106;MC9S08JM60CLH SMD LQFP-64 MICROCONTROLADOR;AG-01
173;CIM107;MAX7219CWG+T DRIVER BARRA DE LEDS;OBSOL - A6
174;CIM108;MOC3061 DIP OPTOISOLATOR TRIAC DRIVER;CD-01
175;CIM110;MC9S08JM32CLD SMD LQFP-44 MICROCONTROLADOR;AG-01
176;CIM111;OFF-LINE SWITCH MODE POWER CONTROLLER - DK124;CD-01
177;CIM112;LM334Z (LM234 equivalente) TO92 FONTE DE CORRENTE AJUSTAVEL;CD-01
178;CIM113;CD4066B SMD SOIC CMOS QUAD BILATERAL SWITCH;CD-02
179;CIM114;REGULADOR DE TENSÃO LOW-DROPOUT SMD 1A - NCP1117 / LM1117DTX-ADJ;CD-02
180;CIM115;LM336Z 2.5V TO-92 (FKF14 Z25);CD-02
181;CIM117;UART INTERFACE;CD-02
182;CIM118;MICROCONTROLADOR ESP32-S2-SOLO-N4R2;AG-01
183;CIM119;MC9S08PA8AVLC SMD LQFP-32 MICROCONTROLADOR;AG-01
184;CIM120;FONTE DE REFERENCIA AZ431AN;CD-02
185;CIM123;ETHERNET WIZNET;CD-02
186;CIM126;MICROCONTROLADOR ESP32S2MINI2N4R2;DB-03
187;CIM127;MICROCONTROLADOR ESP32S2MINI2UN4;DB-03
188;CNT-ALJ2;CABO INTERNO TRD-T32EWC - ALARME P2 REV3;H.15
189;CNT001;ADAPTADOR DE TECLADO;OBSOL - A4
190;CNT002;CAPA DB25 PRETA COM KIT CURTO MACHO;BC-01
191;CNT003;CONECTOR DB09 MACHO SOLDA FIO SFBD09M;BC-01
192;CNT004;CONECTOR DB15 FEMEA SOLDA FIO DBS F 15;OBSOL - A5
193;CNT005;CONECTOR MOLEX FEMEA 5051-06A 2,5MM;AE-01
194;CNT006;CONECTOR MOLEX FEMEA 5051-07A 2,5MM;AE-01
195;CNT007;CONECTOR MOLEX FEMEA 5051-08A 2,5MM;AE-01
196;CNT008;CONECTOR MOLEX FEMEA 5051-11A 2,5MM;AE-01
197;CNT009;CONECTOR MOLEX FEMEA 5051-03A 2,5MM;AE-01
198;CNT010;CONECTOR MOLEX FEMEA 5051-04A 2,5MM;AE-01
199;CNT011;CONECTOR MOLEX MACHO 5045-11A 2,5MM;AC-01
200;CNT012;CONECTOR MOLEX MACHO 5045-03A 2,5MM;AC-01
201;CNT013;CONECTOR MOLEX MACHO 5045-05A 2,5MM;AC-01
202;CNT014;CONECTOR MOLEX MACHO 5045-07A 2,5MM;AC-01
203;CNT015;CONECTOR MOLEX MACHO 5046-04 90GR 2,5MM;BG-01
204;CNT016;CONECTOR MOLEX MACHO 5046-05 90GR 2,5MM;BG-01
205;CNT017;JACK J2 STEREO PAINEL CINZA;BG-01
206;CNT021;TERMINAL FASTON FEMEA 2,8 MM VERMELHO PRE ISOLADO (EF4203);BF-01
207;CNT022;TERMINAL MOLEX 5159TL (KK 2,5MM );DG-03 / LINHA
208;CNT023;TERMINAL ANEL PRE ISOLADO AMAR TP-23-5 (M5);BF-01
209;CNT025;TERMINAL ANEL VERMELHO 4.3 0.25 1.6 (AN2419);BF-01
210;CNT026;CONECTOR MOLEX MINI FIT JR 5557-08R (4201-08HM051);BC-01
211;CNT027;CONECTOR MOLEX MINI FIT JR 5559-08P (4201-08HP051);BC-01
212;CNT028;TERMINAL MOLEX MINI FIT JR FEMEA;BE-01
213;CNT029;TERMINAL MOLEX MINI FIT JR MACHO;BE-01
214;CNT030;TERMINAL AGULHA 1,5 MM2 PRE ISOLADO VM (PI2686);BF-01
215;CNT032;CONECTOR MOLEX MACHO 5045-08A 2,5MM;BD-01
216;CNT033;BARRA D PINO DUPLA;CB-01
217;CNT034;CONECTOR DB25 MACHO SOLDA FIO DBS M-25;BC-01
218;CNT035;CAPA DB09 PRETA COM KIT CURTO MACHO;BC-01
219;CNT036;MODULAR JACK PLUG MACHO;BG-01
220;CNT037;CONECTOR MOLEX FEMEA 5051-05A 2,5MM;AE-01
221;CNT038;SOQUETE ESTAMPADO 40 PINOS 15 24MM SOST40;OBSOL - A3
222;CNT039;SOQUETE ESTAMAPADO 8 PINOS;CB-01
223;CNT040;BARRA DE PINO SIMPLES;CB-01
224;CNT041;JUMPER COM ABA PRETO MINI SHUNT MKBL;CC-02
225;CNT042;CONECTOR MOLEX MACHO 5045-04A 2,5MM;AC-01
226;CNT043;CONECTOR MOLEX MACHO 5045-02A 2,5MM;AC-01
227;CNT044;CONECTOR MOLEX MACHO 5045-16A 2,5MM;OBSOL - A3
228;CNT045;CONECTOR MOLEX FEMEA 5051-14A 2,5MM;BE-01
229;CNT046;CONECTOR DB09 MACHO PCI 180GR;BB-01
230;CNT047;KIT RETENCAO FEMEA 8MM;CE-01
231;CNT049;CONECTOR MOLEX MINI FIT JR 5559-06P (4201-06HP051);BC-01
232;CNT050;CONECTOR MOLEX MINI FIT JR 5557-06R (4201-06HM051);BC-01
233;CNT052;BARRA 1X40 90 GRAUS;CB-01
234;CNT053;BARRA 2X40 90 GRAUS;CB-01
235;CNT057;BORNE B 058 PRETO;OBSOL - A4
236;CNT058;BORNE B 058 VERMELHO;OBSOL - A4
237;CNT059;BORNE BANANA FEMEA GRANDE GOLD VM;OBSOL - A4
238;CNT060;BORNE BANANA FEMEA GRANDE GOLD PT;OBSOL - A4
239;CNT061;BORNE BANANA FEMEA PT;OBSOL - A4
240;CNT062;BORNE KRE2 2 VIAS 10X9X12;BG-01
241;CNT063;BORNE KRE3 3VIAS 15X9X12;AB-01
242;CNT064;BORNE BANANA FEMEA VM;OBSOL - A4
243;CNT065;CAPA DB15 PRETA COM KIT CURTO MACHO;OBSOL - A5
244;CNT068;ALOJAMENTO 3 VIAS;BE-01
245;CNT069;ALOJAMENTO 6 VIAS;BE-01
246;CNT070;CONECTOR BNC FEMEA C ROSCA P PAINEL;OBSOL - A4
247;CNT071;CONECTOR BNC MACHO TC104013A (70361);OBSOL - A4
248;CNT072;CONECTOR BOX HEADER MACHO 180GR 2X8 CROMAT;BB-01
249;CNT073;CONECTOR BOX HEADER MACHO 90GR 2X7 METALTEX IDCSN-14;BB-01
250;CNT074;CONECTOR COMPAT FEMEA 8655-04A (PASSO 7,5/ 5MM);OBSOL - A3
251;CNT075;CONECTOR COMPAT FEMEA 8655-06A (PASSO 7,5/5MM);OBSOL - A3
252;CNT076;CONECTOR COMPAT MACHO 40023-02B;OBSOL - A3
253;CNT077;CONECTOR COMPAT MACHO 40023-03B;OBSOL - A3
254;CNT078;CONECTOR COMPAT MACHO 40023-04B;OBSOL - A3
255;CNT079;CONECTOR COMPAT MACHO 40023-05B;OBSOL - A3
256;CNT080;CONECTOR COMPAT MACHO 40023-06B;OBSOL - A3
257;CNT081;CONECTOR DB09 FEMEA PCI 180GR;BB-01
258;CNT082;CONECTOR DB09 FEMEA SOLDA FIO DBSF09;BC-01
259;CNT083;CONECTOR DB09 MACHO PARA FLAT CABLE;BB-01
260;CNT084;CONECTOR DB15 MACHO SOLDA FIO DBS M-15;BC-01
261;CNT085;CONECTOR DB25 FEMEA SOLDA FIO DBS F-25;BC-01
262;CNT087;CONECTOR DIN MACHO 5 VIAS P CABO;OBSOL - A4
263;CNT089;CONECTOR MINI DIN 6 PINOS FEMEA P PAINEL;OBSOL - A3
264;CNT090;CONECTOR MINI MODU 03 VIAS FEMEA;BG-01
265;CNT091;CONECTOR MINI MODU 04 VIAS FEMEA;BG-01
266;CNT092;CONECTOR MINI MODU 06 VIAS FEMEA;BG-01
267;CNT093;CONECTOR MINI MODU 10 VIAS FEMEA;BG-01
268;CNT098;CONECTOR MINI MODU 2X3 VIAS 2.54 MM;BG-01
269;CNT099;MODULAR JACK RJ45 8P8C 90GR FEMEA P PCI;OBSOL - A3
270;CNT100;CONECTOR MOLEX MACHO 5046-02 90GR 2,5MM;BG-01
271;CNT101;CONECTOR MOLEX MACHO 5046-03 90GR 2,5MM;BG-01
272;CNT102;CONECTOR MOLEX MACHO 5046-11 90GR 2,5MM;BG-01
273;CNT103;CONECTOR MOLEX FEMEA 5051-02A 2,5MM;AE-01
274;CNT104;CONECTOR MOLEX FEMEA 5051-12A 2,5MM;BE-01
275;CNT105;CONECTOR MOLEX MACHO 5045-12A 2,5MM;BD-01
276;CNT106;CONECTOR MOLEX MACHO 5045-14A 2,5MM;BD-01
277;CNT108;CONECTOR PEMC1-03 PCI 3 VIAS 2,5 MM 180GR;BF-01
278;CNT109;CONECTOR PEMC1-06 PCI 6 VIAS 2,5 MM 180GR;BF-01
279;CNT110;TOMADA AC TRIPOLAR AS02 15A PRETA PAINEL MACHO PINO;OBSOL - A4
280;CNT111;CONECTOR BOX HEADER M. 180GR 2X10 IDCSC-20;CE-01
281;CNT112;CONECTOR BOX HEADER M. 180GR 2X7 METALTEX IDCSC-14;OBSOL - A3
282;CNT113;CONECTOR FEMEA PARA CABO FLAT LATCH 2X10 VIAS - DS1016;BB-01
283;CNT116;CONECTOR HD15 MACHO CABO TOWER;OBSOL - A3
284;CNT117;CONECTOR HD15 FEMEA CABO TOWER;OBSOL - A3
285;CNT120;CONECTOR MOLEX MINI FIT JR 5559-10P (4201-10HP051);BC-01
286;CNT123;TERMINAL FASTON MACHO 6,3 MM P/PLACA;BF-01
287;CNT124;SOQUETE ESTAMPADO 16 PINOS;CB-01
288;CNT125;SOQUETE ESTAMPADO 20 PINOS;CB-01
289;CNT126;SOQUETE ESTAMPADO 44 PINOS PLCC;OBSOL - A4
290;CNT127;SOQUETE ESTAMPADO 6 PINOS;CB-01
291;CNT128;TERMINAL ANEL AN2451 12-10 M6(OLHAL LATAO 6,5MM);OBSOL - A3
292;CNT133;CONECTOR MOLEX MACHO 5045-06A 2,5MM;AC-01
293;CNT134;TERMINAL FORQUILHA VERMELHO 4.3 0.25 1.6;BF-01
294;CNT135;CONECTOR FEMEA LATCH 14 VIAS;BB-01
295;CNT137;ADAPTADOR DE TECLADO;OBSOL - A4
296;CNT138;CONECTOR MOLEX FEMEA 5051-10A 2,5MM;BE-01
297;CNT139;CONECTOR MOLEX MACHO 5045-10A 2,5MM;BD-01
298;CNT140;TERMINAL MOLEX 8960TL (COMPAT 5,0MM ESTANHADO AVULSO);OBSOL - A3
299;CNT141;CONECTOR DB25 FEMEA PCI 180GR;BC-01
300;CNT144;CONECTOR COMPAT FEMEA 8655-03A (PASSO 7,5/5MM);OBSOL - A3
301;CNT146;CONECTOR FEMEA LATCH 16 VIAS C ALIV. L-16;BB-01
302;CNT148;CONECTOR PEMC1-02 PCI 2 VIAS 2,5MM 180GR;BF-01
303;CNT149;TERMINAL FASTON FEMEA 6,3 MM AMAR PRE ISOLADO M4 (EF4240);BF-01
304;CNT150;CONECTOR MOLEX MACHO 5028-08B (WTBS PCMC3-08) 3,96MM;CE-01
305;CNT151;CONECTOR MOLEX FEMEA 3069-8 (WTBS PCF3-08) 3,96MM;BB-01
306;CNT152;TERMINAL MOLEX PCT3 3,96MM;Linha
307;CNT156;CONECTOR MOLEX MACHO 5028-04B (WTBS PCMC3-04) 3,96MM;BB-01
308;CNT157;CONECTOR MOLEX FEMEA 3069-4 (WTBS PCF3-04) 3,96MM;BC-01
309;CNT160;CONECTOR CENTRONICS MACHO P573 24G (VIAS);OBSOL - A4
310;CNT161;CONECTOR PEMN1-02 PCI 2 VIAS 2,5MM 90GR;BF-01
311;CNT162;CONECTOR PEMN1-05 PCI 5 VIAS 2,5MM 90GR;BF-01
312;CNT163;ALOJAMENTO 5 VIAS;BE-01
313;CNT164;TERMINAL PET1 P ALOJAMENO PEF1 PASSO 2,5MM;LINHA
314;CNT165;CONECTOR MINI MODU 09 VIAS FEMEA;BG-01
315;CNT166;TERMINAL MODU;BE-01
316;CNT167;CONECTOR USB A MACHO P CABO;OBSOL - A4
317;CNT169;CONECTOR USB B FEMEA PCI 90GR;BB-01
318;CNT170;CONECTOR MOLEX MACHO 5045-09A 2,5MM;AC-01
319;CNT171;CONECTOR DB09 MACHO PCI 90GR;BB-01
320;CNT173;PLUG P2 3,5MM MONO/STEREO MACHO (COM CAPA PASSA CABO);BB-01
321;CNT174;TERMINAL FASTON FEMEA 4,8X0,8 MM VERMELHO PRE ISOLADO (EF4206);BF-01
322;CNT176;SOQUETE TORNEADO 8 PINOS;CB-01
323;CNT178;CONECTOR BOX HEADER M. 180GR 2X10 C EJETOR IDCEC-20;BB-01
324;CNT179;CONECTOR MOLEX MACHO 5028-03B (WTBS PCMC3-03) 3,96MM;BB-01
325;CNT180;CONECTOR MOLEX FEMEA 3069-3 (WTBS PCF3-03) 3,96MM;BB-01
326;CNT181;ALOJAMENTO 2 VIAS;BE-01
327;CNT182;CONECTOR MOLEX MACHO 5028-07B (WTBS PCMC3-07) 3,96MM;BB-01
328;CNT183;CONECTOR MOLEX MACHO 5028-06B (WTBS PCMC3-06) 3,96MM;BB-01
329;CNT184;CONECTOR MOLEX MACHO 5028-10B (WTBS PCMC3-10) 3,96MM;BB-01
330;CNT185;CONECTOR MOLEX MACHO 5028-02B (WTBS PCMC3-02) 3,96MM;BB-01
331;CNT186;CONECTOR MINI MODU 08 VIAS FEMEA;BG-01
332;CNT187;TERMINAL FASTON FEMEA 6,3 MM SEM ISOLACAO;BF-01
333;CNT188;LUVA DE NYLON P FASTON FEMEA 6,3 MM;CE-01
334;CNT189;TERMINAL FASTON FEMEA 6,3 MM VERMELHO ISOLADO (ET4247);OBSOL - A4
335;CNT190;TERMINAL FASTON FEMEA 6,3 MM AZUL PRE ISOLADO (EF4228);BF-01
336;CNT192;TERMINAL ANEL PRE ISOLADO VERM M6 (AN2421);OBSOL - A4
337;CNT193;TERMINAL ANEL PRE ISOLADO AZUL M5 (AN2435C);BF-01
338;CNT194;BORNE SINDAL 100-302;OBSOL - A4
339;CNT195;BORNE SINDAL 100-304;OBSOL - A4
340;CNT200;BORNE BR3R-03 (3 VIAS);BG-01
